geolocation_zip_code_prefix,geolocation_lat,geolocation_lng
2218,-23.487101324585986,-46.584595579721864
2219,-23.49119525007212,-46.586514929222695
2220,-23.490426556898825,-46.57900668665242
2221,-23.482843538302824,-46.580572443173295
2222,-23.482066085766604,-46.57742509942871
2223,-23.47995952553522,-46.57840726721101
2224,-23.48441979531419,-46.574638805715864
2225,-23.48234428462404,-46.57492594900167
2226,-23.479733330807,-46.57438542270183
2227,-23.47863930751921,-46.57229222023771
2228,-23.475019190951585,-46.5716534716948
2229,-23.47714730322003,-46.56826329232212
2230,-23.483707808114985,-46.56342963044608
2231,-23.47544032584106,-46.56548855037794
2232,-23.47504882070517,-46.56415992423104
2233,-23.477853483625708,-46.56431704190952
2234,-23.478351936161943,-46.57008557292687
2235,-23.47877965522789,-46.57752700061735
2236,-23.472588111575952,-46.56836591548847
2237,-23.46531197335392,-46.57086847171908
2238,-23.47070333186535,-46.569348720119535
2239,-23.484480495152567,-46.6090051298257
2240,-23.47891339355994,-46.60296099861503
2241,-23.490518793784968,-46.60742305591787
2242,-23.487175523288485,-46.60682213068412
2243,-23.49135788980902,-46.603728026227714
2244,-23.488502395227464,-46.6046281887299
2245,-23.484748762003008,-46.60603441507012
2246,-23.488748072854754,-46.601895787538226
2247,-23.48574058006812,-46.60086378420568
2248,-23.48361684179699,-46.599337099919175
2249,-23.488579278103163,-46.59678198799699
2250,-23.48661996544807,-46.59554132653355
2251,-23.479365232168618,-46.5890209836257
2252,-23.478735509853422,-46.58823999999999
2253,-23.479140085622372,-46.59528811601935
2254,-23.48130982431185,-46.59321373175024
2255,-23.47664386372554,-46.59188322453689
2256,-23.47549657868314,-46.5875753993883
2257,-23.47321461226845,-46.58400419095159
2258,-23.47623536441803,-46.58208868797982
2259,-23.47170142914206,-46.58116420912922
2260,-23.46928298473656,-46.58223433377442
2261,-23.467961586450706,-46.57715992131685
2262,-23.465704950458765,-46.57522325805007
2263,-23.463572857060434,-46.57492658021235
2264,-23.46256105329214,-46.57677426755725
2265,-23.474997041909518,-46.59177355613421
2266,-23.476410429366943,-46.59853090313921
2267,-23.478949561198,-46.6011719321369
2268,-23.469746447962933,-46.59426446350052
2269,-23.47272294393789,-46.596130844303936
2270,-23.472793571469776,-46.59260139647412
2271,-23.47023335997462,-46.59041365805877
2272,-23.468756639987877,-46.586501707021675
2273,-23.46399660061168,-46.58661150874258
2274,-23.46760851373423,-46.58682464807545
2275,-23.465433436580295,-46.590503021857714
2276,-23.461992104218172,-46.5839669650297
2277,-23.463956660659832,-46.581812767103735
2278,-23.46171889869582,-46.58029028607728
2279,-23.46120509605093,-46.57389912906108
2280,-23.45606030890418,-46.574831236886126
2281,-23.452365148623713,-46.57420055674871
2282,-23.443303500000003,-46.567748937380955
2284,-23.46970319641185,-46.56868272083551
2286,-23.40858677491484,-46.57960324340701
2288,-23.433571410013847,-46.57088254176641
2289,-23.417981927001012,-46.58315051151253
2290,-23.54329484225016,-46.63074319149357
2301,-23.488644196314578,-46.61516271725142
2302,-23.486165301424297,-46.61402205904841
2303,-23.482262902302512,-46.61092567929481
2304,-23.480643713716844,-46.606001112686805
2305,-23.480318713083765,-46.60690160739265
2306,-23.46166199125743,-46.60288110908012
2307,-23.48122545045876,-46.60772065751052
2308,-23.47655438773156,-46.60436401442671
2309,-23.47540058021235,-46.60466126276761
2310,-23.47325500276996,-46.60045392783772
2311,-23.469038612268445,-46.601654102689146
2312,-23.46575325944889,-46.598801600193326
2313,-23.463634751182955,-46.60001956806512
2314,-23.462254482514858,-46.598385431718064
2315,-23.459747659554864,-46.60085625617461
2316,-23.462261361085478,-46.594075717251414
2317,-23.458265573105752,-46.59370898834322
2318,-23.451352913899072,-46.59092566736392
2319,-23.450000553147923,-46.59244298473654
2320,-23.450824142102835,-46.59817363780368
2321,-23.44749078934157,-46.58907721923322
2322,-23.44590671028538,-46.59336783890186
2323,-23.440650280017074,-46.58134285097948
2324,-23.445534462533885,-46.58667151803339
2325,-23.45435884762537,-46.58529733028447
2326,-23.447117238093483,-46.57675275781333
2327,-23.443912729587495,-46.57507725093605
2328,-23.5277338148768,-46.58146026911556
2329,-23.448778202424677,-46.57970124685188
2330,-23.486412294375963,-46.61721101212633
2331,-23.48283825829993,-46.6134583948661
2332,-23.48464348759342,-46.622291299122885
2333,-23.47852820621502,-46.62137388787578
2334,-23.48415759616828,-46.619703103731865
2335,-23.483408224764908,-46.6172943910094
2336,-23.48085288273989,-46.61772657799063
2337,-23.4791514111893,-46.61326028067111
2338,-23.47521353941368,-46.61810934310987
2339,-23.47773491701769,-46.61485527462638
2340,-23.4607754701656,-46.616022620950105
2341,-23.469038932726072,-46.61535729892085
2342,-23.47396980598999,-46.610786881210686
2343,-23.467949460038053,-46.60482252921402
2344,-23.46945976108507,-46.60978259768926
2345,-23.468835984685136,-46.61347752200065
2346,-23.471127003922174,-46.60844051151254
2347,-23.461262863725533,-46.6065541254544
2348,-23.46055363419699,-46.61097425350464
2349,-23.4595695929454,-46.603799365947246
2350,-23.45807275823777,-46.604124767485146
2351,-23.455166367315705,-46.599640956716996
2352,-23.454554060231377,-46.59627177741067
2353,-23.452748843181976,-46.605522022621045
2354,-23.454799878440724,-46.60409942048015
2355,-23.45448070371919,-46.61159777497262
2356,-23.45138647960067,-46.61164467024847
2357,-23.447559478215688,-46.61444099125743
2358,-23.44831512184773,-46.60868152553522
2359,-23.445993870541372,-46.61898066019812
2360,-23.438451816259832,-46.578029947038885
2361,-23.436532258377618,-46.58190737183128
2362,-23.43768867102267,-46.57332337857894
2363,-23.432468208475303,-46.57647459828163
2364,-23.434343169012326,-46.581090059760086
2365,-23.433546523773018,-46.58446487485527
2366,-23.441215992642405,-46.591992519404016
2367,-23.420815009160926,-46.59016745211787
2368,-23.400379451923737,-46.577497711540815
2370,-23.46325384401869,-46.622191819320186
2371,-23.458981473772283,-46.61859465944376
2372,-23.45982634482442,-46.62487625264005
2373,-23.45523909797162,-46.61729716528646
